Designator,Footprint,Quantity,Value,LCSC Part #
"C46_4, C46_3, C46_2, C46",C0402,4,680p 50V, GCM1555C1H681FA16J 
"C52_4, C52_3, C52_2, C52",C0402,4,10u0 4V,GRM155R60G106ME01D
"FB1_4, FB1_3, FB1_2, FB1",L0402,4,300R, LI0402B301R-10 
"J3_4, J3_3, J3_2, J3, J4_4, J4_3, J4_2, J4, J5_4, J5_3, J5_2, J5, J6_4, J6_3, J6_2, J6",2121340003,16,212134-0003, 212134-0003 
"L1_7, L1_6, L1_5, L1_4, L1_3, L1_2, L1",L0806,7,1u50,DFE201612E-1R5M=P2
"OSC1_4, OSC1_3, OSC1_2, OSC1",SIT1532AC,4,SIT1532AC-J5-DCC-32.768D,SIT1532AC-J5-DCC-32.768D
"R1_4, R1_3, R1_2, R1, R2_4, R2_3, R2_2, R2, R3_4, R3_3, R3_2, R3, R4_4, R4_3, R4_2, R4, R46, R47, R48, R49, R5_4, R5_3, R5_2, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6_4, R6_3, R6_2, R6, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7_4, R7_3, R7_2, R7, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94",R0402,77,10K0,CRCW040210K0FKEDHP
"R11_7, R11_6, R11_5, R11_4, R11_3, R11_2, R11, R12_7, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R17_7, R17_6, R17_5, R17_4, R17_3, R17_2, R17, R37_4, R37_3, R37_2, R37",R0402,25,0R00,RK73Z1ETTP
"R15_7, R15_6, R15_5, R15_4, R15_3, R15_2, R15, R16_7, R16_6, R16_5, R16_4, R16_3, R16_2, R16, R34_4, R34_3, R34_2, R34, R8_4, R8_3, R8_2, R8, R9_4, R9_3, R9_2, R9",R0402,26,100K,CRCW0402100KFKEDC
"R20_4, R20_3, R20_2, R20, R22_4, R22_3, R22_2, R22",R0402,8,39R0,RT0402BRD0739RL 
"R21_4, R21_3, R21_2, R21",R0402,4,22R0,CRCW040222R0FKED
"R23_4, R23_3, R23_2, R23, R24_4, R24_3, R24_2, R24",R0402,8,1K00,ERA-2ARC102X
"R25_4, R25_3, R25_2, R25",R0402,4,20K0, ERA-2ARC203X 
"R26_4, R26_3, R26_2, R26",R0402,4,169K,CRCW0402169KFKTD 
"R27_4, R27_3, R27_2, R27",R0402,4,1M33,CRCW04021M33FKED 
"R28_4, R28_3, R28_2, R28, R30_4, R30_3, R30_2, R30",R0402,8,0R30, ERJ-2BQJR30X 
"R29_4, R29_3, R29_2, R29, R31_4, R31_3, R31_2, R31",R0402,8,1R00, CRCW04021R00FKEDHP 
"R33_4, R33_3, R33_2, R33",R0402,4,20K0,CRCW040220K0FKED
"R35_4, R35_3, R35_2, R35, R36_4, R36_3, R36_2, R36",R0402,8,0R15,KDV04FR150ET 
"U10_4, U10_3, U10_2, U10",DSBGA-4_0.74x0.74mm,4,TPS22916CYFPR,TPS22916CYFPR
"U11_4, U11_3, U11_2, U11",WSON-10-3.15x3.15mm,4,TPS7A9401DSCR,TPS7A9401DSCR
"U12_4, U12_3, U12_2, U12",USON-10_1x2.5mm,4,TMUX1104DQAR,TMUX1104DQAR 
"U13_4, U13_3, U13_2, U13",SOT_23_6,4,LTC6255IDC#TRMPBF, LTC6255CS6#TRMPBF 
"U14_4, U14_3, U14_2, U14",SOT_23_5_SHDN,4,OPA310SIDBVR, OPA310SIDBVR 
"U15_4, U15_3, U15_2, U15",SOT_23_5_SHDN,4,OPA333AIDBVR, OPA333AIDBVR 
"U18, U20, U22, U24, U26, U28, U30",8-WSON_DUAL_(6x5mm)_8x6mn,7,MX25U12832FZNI02-TR, MX25U12832FZNI02-TR 
"U19, U21, U23, U25, U27, U29, U31",8-WSON_DUAL_6x5mm_(8x6mn),7,MX25U25643GZ4I00-T, MX25U25643GZ4I00-T 
"U2_4, U2_3, U2_2, U2",WLCSP-21,4,W25Q128JWYIQ,W25Q128JWYIQ
"U3_4, U3_3, U3_2, U3, U4_4, U4_3, U4_2, U4",X2SON-8,8,~,SN74AUP2G08DQER
"U5_4, U5_3, U5_2, U5",X2SON-6,4,~,SN74AUP1G14DSFR
"U6_7, U6_6, U6_5, U6_4, U6_3, U6_2, U6",WLCSP-9_1.468x1.448mm_P0.4mm,7,MAX17262REWL+T,MAX17262REWL+T
"U7_7, U7_6, U7_5, U7_4, U7_3, U7_2, U7",WLCSP-30_2.788x2.338mm_P0.4mm,7,MAX77654MENV+T,MAX77654MENV+T
"U8_4, U8_3, U8_2, U8",VSON-10_3x3mm_P0.5,4,ADS8860IDRCT, ADS8860IDRCT 
"U9_4, U9_3, U9_2, U9",DSBGA-4_1.085x0.870mm,4,REF35250YBHR,REF35250YBHR 
